Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"","שניה","4","דירה בבית קומות","6429-299-7","1,200,000 ₪","13/02/2011","95","ג'ו עמר 2","785"
"","שישית, שביעית","7","דירה בבית קומות","6429-286-24","2,891,000 ₪","03/02/2011","268","דוד זהבי 18","786"
"","שלישית","5","דירה בבית קומות","6430-233-30","1,770,000 ₪","31/01/2011","128.9","מאיר אריאל 12","787"
"","רביעית","5","דירה בבית קומות","6429-290-33","1,950,000 ₪","30/01/2011","146.25","ג'ו עמר 5","788"
"","חמישית","3","דירה בבית קומות","6429-290-35","1,635,000 ₪","27/01/2011","104.75","ג'ו עמר 5","789"
"","ראשונה","6","דירה בבית קומות","6429-293-4","1,885,000 ₪","27/01/2011","132.56","משה וילנסקי 9","790"
"","שניה","5","דירה בבית קומות","6430-249-17","1,900,000 ₪","23/01/2011","128.31","אברהם פררה 1","792"
"","רביעית","5","דירה בבית קומות","6429-290-14","1,950,000 ₪","20/01/2011","140.09","ג'ו עמר 5","793"
"","שלישית","5","דירה בבית קומות","6429-290-9","1,940,000 ₪","18/01/2011","144.24","ג'ו עמר 5","794"
"","ארבע עשרה","5","דירה בבית קומות","6430-252-51","3,230,000 ₪","16/01/2011","135.48","אברהם פררה 7","795"
"","שניה","4","דירה בבית קומות","6429-286-8","1,617,000 ₪","16/01/2011","107","דוד זהבי 18","796"
"","שניה","4","דירה בבית קומות","6430-256-8","1,600,000 ₪","13/01/2011","102.66","קרן המוסיקה 4","797"
"","רביעית","4","דירה בבית קומות","6429-295-16","1,640,000 ₪","12/01/2011","88.42","דוד זהבי 6","798"
"","רביעית+חמישית","7","דירה בבית קומות","6430-259-12","2,510,000 ₪","12/01/2011","191.9","אהוד מנור 2","799"
"","שישית ושביעית","7","דירה בבית קומות","6429-293-24","2,530,000 ₪","09/01/2011","177.05","משה וילנסקי 9","800"
"","שתים עשרה","5","דירה בבית קומות","6430-252-46","2,300,000 ₪","26/12/2010","143.26","אברהם פררה 7","802"
"","שניה","4","דירה בבית קומות","6430-252-5","1,695,000 ₪","23/12/2010","100.91","אברהם פררה 7","803"
"","שניה","5","דירה בבית קומות","6430-256-6","1,800,000 ₪","22/12/2010","127.87","קרן המוסיקה 4","804"
"","רביעית","5","דירה בבית קומות","6429-290-12","1,950,000 ₪","16/12/2010","144.24","ג'ו עמר 5","805"
"","ראשונה","5","דירה בבית קומות","6429-307-4","1,825,000 ₪","13/12/2010","128.7","דוד זהבי 15","806"
"","רביעית וחמישית","7","דירה בבית קומות","6429-305-19","2,550,000 ₪","12/12/2010","176.4","דוד זהבי 7","807"
"","אחת עשרה","5","דירה בבית קומות","6430-252-42","2,280,000 ₪","07/12/2010","143.26","אברהם פררה 7","808"
"","ראשונה","4","דירה בבית קומות","6430-256-4","1,570,000 ₪","05/12/2010","106.68","קרן המוסיקה 4","809"
"","ראשונה","4","דירה בבית קומות","6430-256-17","1,600,000 ₪","30/11/2010","106.68","משה סנה 25","810"
"","קרקע","6","דירה בבית קומות","6429-287-2","2,130,000 ₪","29/11/2010","123.8","וילנסקי משה 17","812"
"","רביעית","4","דירה בבית קומות","6430-252-14","1,680,000 ₪","24/11/2010","103.49","אברהם פררה 7","813"
"","שלישית","6","דירה בבית קומות","6430-259-10","1,910,000 ₪","24/11/2010","140.5","אהוד מנור 2","814"
"","רביעית","5","דירה בבית קומות","6429-292-11","1,770,000 ₪","21/11/2010","113.06","ג'ו עמר 6","815"
"","ארבע עשרה, חמש עשרה","5","דירה בבית קומות","6430-252-52","3,100,000 ₪","18/11/2010","151.97","אברהם פררה 7","816"
"","רביעית","4","דירה בבית קומות","6429-287-13","1,550,000 ₪","17/11/2010","102.4","וילנסקי משה 17","817"
"","ראשונה","4","דירה בבית קומות","6430-256-16","1,580,000 ₪","14/11/2010","102.66","משה סנה 25","818"
"","שניה","4","דירה בבית קומות","6430-256-20","1,620,000 ₪","11/11/2010","106.68","משה סנה 25","819"
"","שלישית","4","דירה בבית קומות","6429-295-12","1,640,000 ₪","09/11/2010","88.42","דוד זהבי 6","820"
"","שלישית","6","דירה בבית קומות","6429-297-13","2,550,000 ₪","27/10/2010","197","דוד זהבי 10","822"
"","רביעית וחמישית","9","דירה בבית קומות","6429-309-24","2,760,000 ₪","21/10/2010","214.01","שמחה הולצברג 3","823"
"","שניה","4","דירה בבית קומות","6430-264-21","1,550,000 ₪","20/10/2010","110.47","יאיר רוזנבלום 32","824"
"","ראשונה","4","דירה בבית קומות","6429-290-22","1,605,000 ₪","19/10/2010","91.72","ג'ו עמר 5","825"
"","קרקע","6","דירה בבית קומות","6430-259-2","2,284,000 ₪","18/10/2010","127.5","אהוד מנור 2","826"
"","שישית","5","דירה בבית קומות","6430-252-22","1,875,000 ₪","17/10/2010","125.98","אברהם פררה 7","827"
"","שישית+שביעית","6","דירה בבית קומות","6429-290-37","2,580,000 ₪","17/10/2010","195.57","ג'ו עמר 5","828"
"","ראשונה","4","דירה בבית קומות","6430-252-4","1,610,000 ₪","07/10/2010","103.49","אברהם פררה 7","829"
"","שישית+שביעית","7","דירה בבית קומות","6430-239-23","3,000,000 ₪","20/09/2010","254.57","יאיר רוזנבלום 28","830"
"","שישית+שביעית","8","דירה בבית קומות","6429-290-18","2,609,000 ₪","06/09/2010","196.72","ג'ו עמר 5","832"
"","חמישית ושישית","6","דירה בבית קומות","6429-345-16","2,555,000 ₪","30/08/2010","161.96","משה וילנסקי 2","833"
"","שישית+שביעית","6","דירה בבית קומות","6429-290-19","2,620,000 ₪","30/08/2010","177","ג'ו עמר 5","834"
"","שלישית","6","דירה בבית קומות","6429-300-24","2,450,000 ₪","27/08/2010","152","דוד זהבי 14","835"
"","קרקע","5","דירה בבית קומות","6430-256-1","1,950,000 ₪","25/08/2010","112.32","קרן המוסיקה 4","836"
"","שניה","4","דירה בבית קומות","6430-252-8","1,580,000 ₪","05/08/2010","103.49","אברהם פררה 7","837"
"","עשירית","5","דירה בבית קומות","6430-252-38","1,970,000 ₪","04/08/2010","125.98","אברהם פררה 7","838"
"","שלישית","5","דירה בבית קומות","6430-256-24","1,970,000 ₪","29/07/2010","135.99","משה סנה 25","839"
"","עשירית","5","דירה בבית קומות","6430-252-40","1,960,000 ₪","29/07/2010","125.98","אברהם פררה 7","840"
"","חמישית + שישית","6","דירה בבית קומות","6430-240-27","2,600,000 ₪","22/07/2010","205","סשה ארגוב 7","842"
"","שניה","6","דירה בבית קומות","6430-264-9","1,960,000 ₪","30/06/2010","165.87","יאיר רוזנבלום 32","843"
"","שניה","5","דירה בבית קומות","6430-256-21","1,770,000 ₪","27/06/2010","127.87","משה סנה 25","844"
"","רביעית וחמישית","6","דירה בבית קומות","6429-307-23","2,800,000 ₪","24/06/2010","197.1","דוד זהבי 17","845"
"","קרקע","5","דירה בבית קומות","6429-290-2","2,360,000 ₪","24/06/2010","127.5","ג'ו עמר 5","846"
"","רביעית וחמישית","7","דירה בבית קומות","6429-307-11","2,740,000 ₪","23/06/2010","202.85","דוד זהבי 15","847"
"","קרקע","6","דירה בבית קומות","6429-300-16","2,166,000 ₪","21/06/2010","136","דוד זהבי 14","848"
"","קרקע","6","דירה בבית קומות","6429-307-14","2,440,000 ₪","21/06/2010","131.45","דוד זהבי 17","849"
"","רביעית","5","דירה בבית קומות","6430-245-33","1,949,000 ₪","20/06/2010","138.51","אהוד מנור 23","850"
"","ראשונה","5","דירה בבית קומות","6429-292-3","1,770,000 ₪","10/06/2010","113.92","ג'ו עמר 6","852"
"","קרקע וראשונה","4","דירה בבית קומות","6429-307-2","2,410,000 ₪","09/06/2010","100","דוד זהבי 15","853"
"","קרקע","4","דירה בבית קומות","6429-300-14","1,799,000 ₪","06/06/2010","90","דוד זהבי 14","854"
"","שניה","4","דירה בבית קומות","6429-300-8","1,548,000 ₪","03/06/2010","104","דוד זהבי 14","855"
"","ראשונה","5","דירה בבית קומות","6430-240-16","2,100,000 ₪","01/06/2010","125","סשה ארגוב 7","856"
"","שניה","4","דירה בבית קומות","6430-256-19","1,520,000 ₪","30/05/2010","102.66","משה סנה 25","857"
"","שלישית+רביעית+חמישית","6","דירה בבית קומות","6430-256-10","2,200,000 ₪","30/05/2010","192.62","קרן המוסיקה 4","858"
"","רביעית וחמישית","9","דירה בבית קומות","6429-309-12","2,695,000 ₪","27/05/2010","214.01","שמחה הולצברג 1","859"
"","שניה","4","דירה בבית קומות","6430-259-19","1,560,000 ₪","24/05/2010","106.8","משה סנה 31","860"
"","שלישית","5","דירה בבית קומות","6429-307-10","1,795,000 ₪","12/05/2010","130.5","דוד זהבי 15","862"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 2.5% ב 0.7 שנים","שניה","5","דירה בבית קומות","6429-293-9","1,755,000 ₪","12/05/2010","118.3","משה וילנסקי 9","863"
"","רביעית","3","דירה בבית קומות","6429-290-32","1,606,000 ₪","06/05/2010","104.75","ג'ו עמר 5","864"
"","קרקע","5","דירה בבית קומות","6430-256-14","2,000,000 ₪","05/05/2010","121.02","משה סנה 25","865"
"","קרקע+ראשונה","5","דירה בבית קומות","6430-239-4","2,500,000 ₪","30/04/2010","179.82","יאיר רוזנבלום 28","866"
"","שלישית","3","דירה בבית קומות","6429-290-29","1,575,000 ₪","29/04/2010","104.75","ג'ו עמר 5","867"
"","רביעית+חמישית","7","דירה בבית קומות","6430-259-26","2,600,000 ₪","29/04/2010","192.4","משה סנה 31","868"
"","ראשונה","5","דירה בבית קומות","6429-307-15","1,780,000 ₪","28/04/2010","128.7","דוד זהבי 17","869"
"","שישית+שביעית","6","דירה בבית קומות","6430-239-24","2,460,000 ₪","26/04/2010","175.01","יאיר רוזנבלום 28","870"
"","ראשונה","4","דירה בבית קומות","6430-256-5","1,500,000 ₪","22/04/2010","102.66","קרן המוסיקה 4","872"
"","חמישית","5","דירה בבית קומות","6429-292-14","1,770,000 ₪","18/04/2010","113.06","ג'ו עמר 6","873"
"","ראשונה","6","דירה בבית קומות","6429-345-5","1,883,000 ₪","15/04/2010","144.8","משה וילנסקי 2","874"
"","ראשונה","4","דירה בבית קומות","6429-307-16","1,532,000 ₪","28/03/2010","103.4","דוד זהבי 17","875"
"","קרקע","4","דירה בבית קומות","6430-239-1","1,630,000 ₪","28/03/2010","91.41","יאיר רוזנבלום 28","876"
"","שניה","5","דירה בבית קומות","6429-307-6","1,760,000 ₪","25/03/2010","128.7","דוד זהבי 15","877"
"","רביעית+חמישית","6","דירה בבית קומות","6430-256-25","2,400,000 ₪","25/03/2010","204.74","משה סנה 25","878"
"","ראשונה","4","דירה בבית קומות","6430-245-25","1,500,000 ₪","25/03/2010","103","אהוד מנור 23","879"
"","חמישית","6","דירה בבית קומות","6429-292-33","1,985,000 ₪","24/03/2010","131.18","ג'ו עמר 6","880"
"","רביעית + חמישית","6","דירה בבית קומות","6429-299-12","2,810,000 ₪","11/03/2010","191","ג'ו עמר 2","882"
"","שניה","5","דירה בבית קומות","6429-307-18","1,770,000 ₪","10/03/2010","128.7","דוד זהבי 17","883"
"","שלישית","5","דירה בבית קומות","6429-307-9","1,517,000 ₪","01/03/2010","128.7","דוד זהבי 15","884"
"","שביעית, שמינית","6","דירה בבית קומות","6430-245-42","2,520,000 ₪","28/02/2010","183.94","אהוד מנור 23","885"
"","ראשונה","5","דירה בבית קומות","6430-239-6","1,670,000 ₪","28/02/2010","121.63","יאיר רוזנבלום 28","886"
"","קרקע","4","דירה בבית קומות","6429-297-1","1,487,000 ₪","26/02/2010","94","דוד זהבי 10","887"
"","רביעית","5","דירה בבית קומות","6430-245-12","2,000,000 ₪","22/02/2010","151.21","אהוד מנור 23","888"
"","קרקע וראשונה","6","דירה בבית קומות","6429-292-19","2,360,000 ₪","18/02/2010","151.82","ג'ו עמר 6","889"
"","ראשונה","4","דירה בבית קומות","6430-233-5","1,440,000 ₪","16/02/2010","103.2","מאיר אריאל 12","890"
"","שישית ושביעית","7","דירה בבית קומות","6429-311-16","2,620,000 ₪","08/02/2010","183.53","דמארי שושנה 2","892"
"","ראשונה","4","דירה בבית קומות","6429-297-4","1,475,000 ₪","03/02/2010","108","דוד זהבי 10","893"
"","רביעית וחמישית","7","דירה בבית קומות","6429-309-11","2,680,000 ₪","31/01/2010","196.99","שמחה הולצברג 1","894"
"","שישית","5","דירה בבית קומות","6430-245-40","1,891,000 ₪","26/01/2010","141.87","אהוד מנור 23","895"
"","שישית, שביעית","7","דירה בבית קומות","6430-233-37","2,500,000 ₪","21/01/2010","171.6","מאיר אריאל 12","896"
"","קרקע","4","דירה בבית קומות","6429-299-1","1,590,000 ₪","18/01/2010","90","ג'ו עמר 2","897"
"","ראשונה","6","דירה בבית קומות","6429-299-16","1,862,000 ₪","17/01/2010","156","ג'ו עמר 2","898"
"","שלישית","5","דירה בבית קומות","6429-307-21","1,750,000 ₪","14/01/2010","128.7","דוד זהבי 17","899"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -30% ב 0.4 שנים","קרקע וראשונה","4","דירה בבית קומות","6429-292-1","1,505,000 ₪","07/01/2010","100","ג'ו עמר 6","900"
